policyDefinitionId,groupNames,parameters
ba769a63-b8cc-4b2d-abf6-ac33c7204be8,23.4.9.C.01.,effect-ba769a63-b8cc-4b2d-abf6-ac33c7204be8
67121cc7-ff39-4ab8-b7e3-95b84dab487d,23.4.9.C.01.,effect-67121cc7-ff39-4ab8-b7e3-95b84dab487d
5b9159ae-1701-4a6f-9a7a-aa9c8ddd0580,23.4.9.C.01.,effect-5b9159ae-1701-4a6f-9a7a-aa9c8ddd0580
83cef61d-dbd1-4b20-a4fc-5fbc7da10833,23.4.9.C.01.,
617c02be-7f02-4efd-8836-3180d47b6c68,23.4.9.C.01.,effect-617c02be-7f02-4efd-8836-3180d47b6c68
ac01ad65-10e5-46df-bdd9-6b0cad13e1d2,23.4.9.C.01.,effect-ac01ad65-10e5-46df-bdd9-6b0cad13e1d2
0a370ff3-6cab-4e85-8995-295fd854c5b8,23.4.9.C.01.,effect-0a370ff3-6cab-4e85-8995-295fd854c5b8
6fac406b-40ca-413b-bf8e-0bf964659c25,23.4.9.C.01.,
17k78e20-9358-41c9-923c-fb736d382a12,23.4.9.C.01.,
0961003e-5a0a-4549-abde-af6a37f2724d,23.4.9.C.01.,
cee51871-e572-4576-855c-047c820360f0,17.2.24.C.01.,effect-cee51871-e572-4576-855c-047c820360f0;minimumRSAKeySize-cee51871-e572-4576-855c-047c820360f0
f0e6e85b-9b9f-4a4b-b67b-f730d42f1b0b,17.4.16.C.01.,
f9d614c5-c173-4d56-95a7-b4437057d193,17.4.16.C.01.,
5752e6d6-1206-46d8-8ab1-ecc2f71a8112,17.4.16.C.01.,MinimumTLSVersion-5752e6d6-1206-46d8-8ab1-ecc2f71a8112
630c64f9-8b6b-4c64-b511-6544ceff6fd6,17.5.7.C.01.,
bd352bd5-2853-4985-bf0d-73806b4a5744,17.5.6.C.01.,
152b15f7-8e1f-4c1f-ab71-8c010ba5dbc0,17.1.58.C.01.,effect-152b15f7-8e1f-4c1f-ab71-8c010ba5dbc0
98728c90-32c7-4049-8429-847dc0f4fe37,17.1.58.C.01.,effect-98728c90-32c7-4049-8429-847dc0f4fe37
18adea5e-f416-4d0f-8aa8-d24321e3e274,23.4.9.C.01.,
